Rank,Channel,Channel Created On,Country,Channel Type,Number of Subscribers(In Millions),Total Video Uploads(Till End Of The Week),Total Views(Till End Of The Week),Estimated Earnings in $(As on 12th Sep 2022),Estimated Earnings in $(As on 13th Sep 2022),Estimated Earnings in $(As on 14th Sep 2022),Estimated Earnings in $(As on 15th Sep 2022),Estimated Earnings in $(As on 16th Sep 2022),Estimated Earnings in $(As on 17th Sep 2022),Estimated Earnings in $(As on 18th Sep 2022)
1,T-Series,2006-03-13,India,Music,225.0,17469,201928692262,0-0,22.8K-364.2K,43.3K-692K,0-0,48.2K-771.4K,26.4K-422.9K,897-14.4K
2,Cocomelon - Nursery Rhymes,2006-01-09,US,Education,143.0,798,138918281415,20.5K-327.4K,19.8K-317.1K,19.2K-307.9K,20K-320.7K,21.2K-338.9K,20.9K-334.7K,18.4K-294.3K
3,SET India,2006-09-20,India,Entertainment,142.0,94393,129200353737,21K-336.3K,19.1K-305.2K,19K-304.1K,23.3K-372.8K,22.5K-359.7K,22.9K-366.3K,20.9K-334.4K
4,PewDiePie,2010-04-29,Japan,Games,111.0,4505,28524968997,0-0,192-3.1K,155-2.5K,1.1K-18.1K,236-3.8K,0-0,270-4.3K
5,MrBeast,2012-02-20,US,Entertainment,104.0,728,17341761178,2.3K-37.2K,2.3K-36.2K,3.4K-54.4K,1.7K-26.5K,1.7K-26.9K,2.1K-34K,1.9K-30K
6,Kids Diana Show,2015-12-05,US,Entertainment,101.0,1019,81460839462,0-0,20.9K-335.1K,0-0,12.5K-200.4K,18.7K-299.6K,0-0,22.9K-367K
7,Like Nastya,2016-06-12,US,Entertainment,100.0,713,83771983847,8.6K-137.2K,15.2K-242.5K,6.8K-109.4K,6.5K-103.6K,0-0,5.1K-81.2K,10.8K-172.3K
8,WWE,2007-11-05,US,Sports,91.0,63931,71431109966,4.9K-78.7K,5.4K-86K,0-0,5.5K-88.2K,7.3K-116.1K,0-0,11.1K-177.8K
9,Zee Music Company,2014-12-03,India,Music,88.0,6935,50149642790,7.1K-113.2K,6.3K-100.5K,0-0,6.4K-101.7K,14.3K-229K,6.5K-104.5K,6.1K-97.9K
10,Vlad and Niki,2018-04-23,US,Entertainment,86.5,484,68004123321,18.2K-291.5K,8.2K-132K,10.5K-167.8K,7.8K-124.1K,0-0,9K-143.2K,19.8K-316.4K
11,BLACKPINK,2016-06-29,South Korea,Music,81.4,430,26633342846,9.5K-152.1K,9.1K-146.2K,5.8K-93.1K,15.8K-253.1K,19K-303.9K,23.7K-378.9K,11.8K-188.3K
12,5-Minute Crafts,2016-11-15,US,Howto,77.4,5662,24133792423,0-0,2.8K-44.9K,0-0,1.6K-25.2K,3K-48.1K,0-0,4K-64.6K
13,Goldmines,2012-01-21,India,Film,76.4,4246,19584222584,7.4K-119.2K,6.9K-111.1K,7.4K-118.5K,-9.5K - -151.4K,7.5K-120K,7.7K-123.9K,7K-112.1K
14,Sony SAB,2007-04-08,India,Entertainment,72.1,57996,84743306243,14.1K-225.8K,13.3K-213.1K,0-0,28.3K-452.1K,14.4K-230.6K,14.8K-236.3K,14.2K-227K
15,BANGTANTV,2012-12-17,South Korea,Music,70.7,1811,17872668227,1.9K-30.8K,2.6K-40.8K,1.7K-27.8K,1.2K-19.4K,3K-47.3K,2.1K-32.8K,2K-32.4K
16,Justin Bieber,2007-01-15,Canada,Music,70.1,248,28838239513,1.4K-22.8K,2K-32.1K,1.6K-26.1K,1.7K-26.6K,1.7K-27K,1.8K-28.9K,1.4K-22K
17,HYBE LABELS,2008-04-06,South Korea,Music,68.2,991,24473465443,2.6K-42K,2.5K-40.7K,4.6K-73.8K,2.7K-42.6K,0-0,2.7K-42.6K,6.3K-100.2K
18,Canal KondZilla,2012-03-21,Brazil,Music,66.0,2326,36713737370,1.7K-26.8K,0-0,1.5K-23.4K,0-0,790-12.6K,850-13.6K,2K-32.6K
19,Zee TV,2005-11-12,India,Entertainment,63.4,61601,17671941482,0-0,19.8K-316.8K,3.2K-51K,0-0,7.5K-120.2K,0-0,3.1K-50.3K
20,Shemaroo Filmi Gaane,2010-11-06,India,Music,61.9,8041,28967760480,47K-751.7K,29.4K-470.7K,0-0,6K-95.6K,2.8K-44.7K,0-0,5.6K-89.1K
21,Pinkfong Baby Shark - Kids' Songs & Stories,2011-12-14,US,Education,60.5,2407,33065993032,6.2K-98.4K,5.8K-92.2K,5.8K-92.8K,6K-96.2K,6.1K-98.4K,6K-95.3K,2.9K-46.1K
22,ChuChu TV Nursery Rhymes & Kids Songs,2013-09-02,India,Education,58.6,512,39969392477,4.4K-70.7K,4.1K-65.3K,4.6K-73.3K,0-0,6.1K-97.1K,4.2K-67.1K,3.7K-59.5K
23,Dude Perfect,2009-03-17,US,Sports,58.2,300,14901795280,1.2K-20K,1.7K-27.2K,771-12.3K,769-12.3K,0-0,769-12.3K,1.7K-27.7K
24,Movieclips,2006-04-28,US,Film,57.8,39330,59178231617,2.6K-41.1K,2.2K-35.6K,2.5K-40.4K,2.6K-42.3K,2.8K-44.2K,3.1K-50.1K,2.6K-41.2K
25,Colors TV,2008-06-13,India,Entertainment,56.3,90549,54041041286,9.3K-148.4K,8.5K-136.7K,9.1K-145.7K,9.2K-147.4K,8.8K-140.6K,9.1K-145.8K,8.9K-142.9K
26,Marshmello,2015-06-04,US,Music,55.9,403,13606373639,695-11.1K,1.5K-24K,920-14.7K,1.2K-18.4K,1.1K-18.2K,1.2K-19.1K,1.1K-16.9K
27,Wave Music,2014-10-29,India,Music,54.0,18696,37680279083,2.4K-38.9K,2.1K-33.7K,0-0,4.3K-68.6K,0-0,2.3K-37.3K,4.3K-68.1K
28,Tips Official,2007-05-22,India,Music,53.7,3694,28395481053,8.1K-129.8K,0-0,3.9K-61.8K,4.3K-68.9K,2.3K-37.5K,4.2K-67.5K,4.1K-65.1K
29,T-Series Bhakti Sagar,2011-02-13,India,Music,53.6,24101,24907352254,3.8K-61.3K,6.8K-108.5K,3.9K-61.7K,3.8K-61.2K,0-0,3.9K-61.9K,7.9K-126.2K
30,Aaj Tak,2009-08-27,India,News,53.5,204972,20902043583,4.7K-75.6K,0-0,4.5K-71.7K,8.2K-130.9K,4.7K-74.9K,0-0,8.7K-139.8K
31,EminemMusic,2007-09-02,US,Music,53.4,140,24108346733,2.1K-33.4K,2.4K-38.8K,2.3K-36.2K,1.7K-26.7K,3K-48K,2.6K-42K,2.2K-36K
32,Sony Music India,2009-02-09,India,Music,53.2,3228,25503125715,0-0,6.4K-102.6K,4.5K-72.6K,4.2K-67.2K,0-0,4.2K-66.4K,7.8K-124.1K
33,El Reino Infantil,2011-02-06,Argentina,Music,52.5,1334,50864290695,13.9K-221.9K,5.9K-93.8K,0-0,12.9K-206.1K,0-0,6.4K-103.2K,11.8K-188.4K
34,Ed Sheeran,2006-08-08,UK,Music,52.4,255,28156871920,1.6K-25.7K,2K-32.2K,1.6K-25.4K,1.7K-26.7K,1.7K-27.5K,1.9K-30.4K,1.7K-27.1K
35,Ariana Grande,2007-01-22,US,Music,51.8,146,22366325399,1.2K-19.7K,1.6K-24.9K,1.2K-19.8K,1.3K-20.5K,1.3K-21.5K,1.4K-21.9K,1K-16.4K
36,LooLoo Kids - Nursery Rhymes and Children's Songs,2014-05-08,US,Music,50.4,563,29478272884,3.4K-53.7K,0-0,2.9K-46.5K,6.2K-98.9K,3.2K-51.5K,3.3K-52.3K,2.7K-43.9K
37,YRF,2006-07-06,India,Music,48.3,3329,29925691095,3.5K-56.3K,3.2K-50.9K,3.4K-54.3K,3.6K-58.3K,3.6K-57.1K,0-0,7.2K-115K
39,BillionSurpriseToys - English Kids Songs & Cartoon,2013-10-25,US,Entertainment,47.4,654,8673628328,0-0,2.2K-35.8K,0-0,3.4K-54.7K,1.3K-21.5K,0-0,1.9K-30K
38,Taylor Swift,2006-09-20,US,Music,47.4,189,25878737256,2.9K-46.8K,2K-32.3K,1.9K-30K,1.9K-31.1K,2K-32.4K,1.6K-26.3K,1.9K-30.4K
40,Infobells - Hindi,2014-06-06,India,Education,46.7,485,26415897592,3.9K-62.7K,3.7K-59.4K,8.1K-129K,0-0,4.4K-69.9K,8.6K-137.8K,3.4K-54.6K
41,Billie Eilish,2013-06-02,US,Music,46.6,48,12213445609,1.3K-20.5K,1.3K-21.5K,992-15.9K,1.5K-24.7K,1.3K-20.9K,1.3K-21.4K,1.3K-20.2K
42,JuegaGerman,2013-05-19,Chile,Games,46.3,1975,13802473336,0-0,561-9K,421-6.7K,1.1K-17.5K,0-0,1.6K-25.7K,0-0
43,Badabun,2014-10-14,Mexico,Entertainment,45.7,14668,18662137540,576-9.2K,462-7.4K,523-8.4K,0-0,1.2K-18.6K,0-0,644-10.3K
44,Fernanfloo,2011-02-05,El Salvador,Games,45.2,542,10012362289,539-8.6K,0-0,218-3.5K,242-3.9K,524-8.4K,0-0,340-5.4K
45,Felipe Neto,2006-05-16,Brazil,Entertainment,44.5,3581,15663330962,0-0,2.3K-36.7K,1.1K-17.8K,1.2K-19.7K,0-0,2.3K-37.1K,947-15.2K
46,BRIGHT SIDE,2017-03-15,US,Entertainment,44.0,4691,10150837024,522-8.3K,445-7.1K,481-7.7K,512-8.2K,0-0,516-8.3K,671-10.7K
47,whinderssonnunes,2013-01-21,Brazil,Comedy,43.9,523,4134356685,0-0,173-2.8K,90-1.4K,93-1.5K,100-1.6K,119-1.9K,100-1.6K
48,Voc̻ Sabia?,2013-01-09,Brazil,Entertainment,43.5,1361,7379247171,0-0,1K-16.7K,0-0,1.3K-20.3K,646-10.3K,0-0,1K-16.3K
49,Bad Bunny,2014-09-06,Puerto Rico,Music,43.5,125,25130568002,7.4K-119K,5.9K-93.6K,8.9K-142.1K,7.6K-122.1K,8.2K-131.5K,4.7K-75.5K,13.7K-218.5K
50,HolaSoyGerman.,2011-08-09,Chile,Entertainment,43.3,136,4747078750,71-1.1K,0-0,131-2.1K,76-1.2K,79-1.3K,94-1.5K,77-1.2K
